Hanzi,Level,WritingLevel,Traditional,Freq,Examples
爱,1,1,愛,20,爱 爱好 爱情 爱人 可爱
八,1,1,八,7,八 八卦 横七竖八 乱七八糟 七嘴八舌
爸,1,1,爸,2,爸爸 爸
吧,1,1,吧,3,吧 酒吧 网吧
白,1,1,白,17,白 白天 明白 白色 白菜
百,1,1,百,8,百 老百姓 百货 百分点 百分比
班,1,2,班,14,班 上班 下班 班长 班级
半,1,1,半,16,半 半年 半天 一半 半夜
帮,1,1,幫,4,帮 帮忙 帮助 帮手
包,1,1,包,19,包 包子 面包 钱包 书包
杯,1,2,杯,5,杯 杯子 干杯 世界杯 奖杯
北,1,1,北,9,北 北边 北京 北方 东北
备,1,1,備,16,准备 设备 具备 配备 预备
本,1,1,本,33,本 本子 课本 笔记本 本来
比,1,1,比,21,比 比如 比如说 比较 比例
边,1,1,邊,33,北边 东边 后边 里边 那边
别,1,1,別/彆,27,别 别的 别人 特别 分别
病,1,1,病,23,病 病人 看病 生病 毛病
不,1,1,不,207,不大 不对 不客气 不用 不
菜,1,1,菜,5,菜 菜单 白菜 蔬菜 菜市场
茶,1,1,茶,7,茶 红茶 绿茶 奶茶 茶叶
差,1,1,差,16,差 差不多 差别 差距 差点儿
常,1,1,常,25,常 常常 非常 常见 常用
场,1,1,場,41,机场 商场 场 广场 球场
唱,1,1,唱,8,唱 唱歌 演唱 演唱会 唱片
车,1,1,車,61,车 车票 车上 车站 打车
吃,1,1,吃,12,吃 吃饭 好吃 吃惊 小吃
出,1,1,出,95,出 出来 出去 出发 出国
穿,1,1,穿,7,穿 穿上 穿过 穿小鞋 穿越
床,1,2,床,5,床 起床 病床 床位 临床
次,1,1,次,19,次 上次 下次 其次 多次
从,1,1,從,23,从 从小 从来 从前 从事
错,1,1,錯,13,错 不错 错误 没错 错过
答,1,1,答,8,回答 答应 答案 报答 答
打,1,1,打,46,打 打车 打电话 打开 打球
大,1,1,大,111,不大 大 大学 大学生 大部分
蛋,1,1,蛋,6,鸡蛋 蛋 蛋糕 笨蛋 蛋白质
到,1,1,到,49,到 得到 回到 看到 来到
道,1,1,道,39,知道 道 道理 道路 味道
得,1,1,得,58,得到 记得 觉得 得 得出
地,1,1,地,67,地 地点 地方 地上 地图
的,1,1,的,15,别的 的 有的 真的 的话
等,1,1,等,12,等 等到 等于 平等 等待
弟,1,2,弟,6,弟弟 弟 兄弟 徒弟 弟子
第,1,1,第,4,第 第二 第一手 第一线
点,1,1,點,42,地点 点 一点儿 点头 观点
电,1,1,電,41,打电话 电 电话 电脑 电视
店,1,1,店,10,饭店 商店 书店 店 酒店
东,1,1,東,12,东 东边 东西 东北 东方
