No,Level,Group,Category,Details,Content
1,1,词类,名词,方位名词,上、下、里、外、前、后、左、右、东、南、西、北；上边、下边、 里边、外边、前边、后边、左边、右边、东边、南边、西边、北边
2,1,词类,动词,能愿动词,会、能
3,1,词类,动词,能愿动词,想、要
4,1,词类,代词,疑问代词,多、多少、几、哪、哪儿、哪里、哪些、什么、谁、怎么
5,1,词类,代词,人称代词,我、你、您、他、她、我们、你们、他们、她们
6,1,词类,代词,指示代词,这、那、这儿、那儿、这里、那里、这些、那些、别的、有的
7,1,词类,数词,一、二/两、三、四、五、六、七、八、九、零；十、百；半,
8,1,词类,量词,名量词,杯、本、个、家、间、口、块、页
9,1,词类,副词,程度副词,非常、很、太、真、最
10,1,词类,副词,范围、协同副词,都1、一块儿、一起
11,1,词类,副词,时间副词,马上、先、有时、在、正、正在
12,1,词类,副词,频率、重复副词,常、常常、再1
13,1,词类,副词,关联副词,还1、也
14,1,词类,副词,否定副词,别、不、没、没有
15,1,词类,介词,引出时间、处所,从1
16,1,词类,介词,引出时间、处所,在
17,1,词类,介词,引出对象,跟1、和1
18,1,词类,介词,引出对象,比
19,1,词类,连词,连接词或词组,跟2、还是、和2
20,1,词类,助词,结构助词,的1、地
21,1,词类,助词,动态助词,了1
22,1,词类,助词,语气助词,吧1、了2、吗、呢
23,1,短语,结构类型,其他结构类型,数量短语
24,1,句子成分,主语,名词、代词或名词性短语作主语,
25,1,句子成分,谓语,动词或动词性短语、形容词或形容词性短语作谓语,
26,1,句子成分,宾语,名词、代词或名词性短语作宾语,
27,1,句子成分,定语,名词性词语、形容词性词语、数量短语作定语,
28,1,句子成分,状语,"副词、形容词作状语； 
表示时间、处所的词语作状语",
29,1,句子的类型,句型,单句,主谓句1：动词谓语句
30,1,句子的类型,句型,单句,主谓句2：形容词谓语句
31,1,句子的类型,句型,单句,非主谓句
32,1,句子的类型,句类,陈述句,陈述句
33,1,句子的类型,句类,疑问句,（1）是非问句（2）特指问句（3）选择问句（4）正反问句
34,1,句子的类型,句类,祈使句,祈使句
35,1,句子的类型,句类,感叹句,感叹句
36,1,句子的类型,特殊句型,“是”字句,（1）表示等同或类属；（2）表示说明或特征；（3）表示存在
37,1,句子的类型,特殊句型,“有”字句,“有”字句1：（1）表示领有；（2）表示存在
38,1,句子的类型,特殊句型,比较句,比较句1：（1）A比B +形容词（2）A没有B +形容词
39,1,句子的类型,复句,并列复句,"（1）不用关联词语 
（2）用关联词语：一边……，一边……；……，也……"
40,1,动作的态,动作的态,变化态,用语气助词“了2”表示
41,1,动作的态,动作的态,完成态,用动态助词“了1”表示
42,1,动作的态,动作的态,进行态,"（1）……在/正在+动词 
（2）……在/正/正在+动词……+呢 
（3）……呢"
43,1,特殊表达法,数的表示法,钱数表示法,
44,1,特殊表达法,时间表示法,（1）年、月、日、星期表示法（2）钟点表示法,
45,1,提问的方法,用“吗”提问,,
46,1,提问的方法,用“多、多少、几、哪、哪儿、哪里、哪些、什么、谁、怎么”提问,,
47,1,提问的方法,用“还是”提问,,
48,1,提问的方法,用正反疑问形式提问,,
49,2,词类,动词,能愿动词,（1）可能；（2）可以
50,2,词类,动词,能愿动词,该、应该
51,2,词类,动词,能愿动词,愿意
52,2,词类,动词,动词重叠,动词重叠：AA、A一A、A了A、ABAB
53,2,词类,代词,疑问代词,多久、为什么、怎么样、怎样
54,2,词类,代词,人称代词,别人、大家、它、它们、咱、咱们、自己
55,2,词类,代词,指示代词,那么、那样、这么、这样
56,2,词类,形容词,形容词重叠,AA、AABB
57,2,词类,数词,千、万、亿,
58,2,词类,量词,名量词,层、封、件、条、位
59,2,词类,量词,动量词,遍、次、场、回、下
60,2,词类,量词,时量词,分钟、年、天、周
61,2,词类,副词,程度副词,多、多么、好、更、十分、特别、挺、有（一）点儿
62,2,词类,副词,范围、协同副词,全、一共、只
63,2,词类,副词,时间副词,刚、刚刚、还2、忽然、一直、已经
64,2,词类,副词,频率、重复副词,重新、经常、老、老是、又
65,2,词类,副词,关联副词,就1
66,2,词类,副词,方式副词,故意
67,2,词类,副词,情态副词,必须、差不多、好像、也许
68,2,词类,副词,语气副词,才1、都2、就2、正好
69,2,词类,介词,引出时间、处所,当
70,2,词类,介词,引出方向、路径,往
71,2,词类,介词,引出方向、路径,向1
72,2,词类,介词,引出方向、路径,从2
73,2,词类,介词,引出对象,对
74,2,词类,介词,引出对象,给
75,2,词类,介词,引出对象,离
76,2,词类,介词,引出目的、原因,为1
77,2,词类,连词,连接词或词组,或、或者
78,2,词类,连词,连接分句或句子,不过、但、但是、而且、那、如果、虽然、只要
79,2,词类,助词,结构助词,得
80,2,词类,助词,动态助词,过
81,2,词类,助词,着,
82,2,词类,助词,语气助词,啊1、吧2、的2
83,2,词类,助词,其他助词,的话、等
84,2,词类,叹词,喂,
85,2,短语,结构类型,基本结构类型,基本结构类型：（1）联合短语（2）偏正短语（3）动宾短语（4）动补短语（5）主谓短语
86,2,短语,结构类型,其他结构类型,其他结构类型1：（1）“的”字短语（2）连谓短语
87,2,短语,功能类型,名词性短语,
88,2,短语,功能类型,动词性短语,
89,2,短语,功能类型,形容词性短语,
90,2,短语,固定短语,其他,不一会儿
91,2,短语,固定短语,其他,什么的
92,2,短语,固定短语,其他,越来越
93,2,固定格式,还是……吧,,
94,2,固定格式,又……又……,,
95,2,固定格式,（在）……以前/以后/前/后,,
96,2,句子成分,谓语,名词、代词、数词、数量短语、名词性短语作谓语,
97,2,句子成分,补语,结果补语,结果补语1：动词+错/懂/干净/好/会/清楚/完
98,2,句子成分,补语,趋向补语,"趋向补语1 
简单趋向补语的趋向意义用法： 
（1）动词+来/去（2）动词+上/下/进/出/起/过/回/开"
99,2,句子成分,补语,状态补语,状态补语1：动词+得+形容词性词语
100,2,句子成分,补语,数量补语,数量补语1：动词+动量补语
101,2,句子成分,补语,数量补语,数量补语2：形容词+数量补语
102,2,句子的类型,句型,单句,主谓句3：名词谓语句
103,2,句子的类型,特殊句型,“有”字句,"“有”字句2：（1）表示评价、达到； 
（2）表示比较（见“比较句 2-（4）”）"
104,2,句子的类型,特殊句型,存现句,"存现句1：表示存在 
（1）处所+有+数量短语+名词（见“‘有’字句1-（2）”） 
（2）处所+动词+着（+数量短语）+名词"
105,2,句子的类型,特殊句型,连动句,连动句1：表示前后动作先后发生
106,2,句子的类型,特殊句型,比较句,"比较句2： 
（1）A比B +形容词+数量补语（2）A比B +更/还+形容词（3）A不如B（+形容词）（4）A有B（+这么/那么）+形容词"
107,2,句子的类型,特殊句型,比较句,比较句3：（1）A跟B一样/相同（2）A跟B一样+形容词
108,2,句子的类型,特殊句型,“是……的”句,“是……的”句1：强调时间、地点、方式、动作者
109,2,句子的类型,特殊句型,双宾语句,"（1）主语+动词+宾语1+宾语2 
（2）主语+动词+给+宾语1+宾语2"
110,2,句子的类型,复句,承接复句,（1）不用关联词语（2）用关联词语：先……，再/然后……
111,2,句子的类型,复句,递进复句,（1）不用关联词语（2）用关联词语：……，更/还……；不但……，而且……
